ID,Size,Predicted,Actual
163,65,0.98,NO
197,65,0.94,NO
284,68,0.98,NO
414,41,0.57,NO
228,71,0.97,NO
261,24,0.32,NO
152,64,0.85,NO
110,74,0.97,YES
434,60,0.77,NO
85,25,0.32,NO
48,79,0.99,NO
361,74,0.91,NO
433,62,0.76,NO
263,72,0.88,NO
91,70,0.84,NO
195,64,0.76,NO
336,27,0.32,NO
79,69,0.81,NO
366,75,0.88,NO
232,70,0.82,NO
409,79,0.92,NO
49,82,0.95,NO
240,42,0.48,NO
230,85,0.97,NO
358,83,0.94,NO
56,84,0.94,NO
62,85,0.94,NO
143,80,0.88,NO
362,86,0.94,NO
117,77,0.84,NO
173,69,0.75,NO
70,92,0.99,YES
191,67,0.72,YES
207,89,0.95,NO
398,90,0.96,NO
304,92,0.98,NO
72,93,0.99,YES
84,79,0.84,NO
352,70,0.74,NO
98,91,0.96,YES
410,84,0.88,NO
167,43,0.45,NO
45,90,0.94,YES
67,89,0.92,NO
131,62,0.64,NO
119,88,0.9,NO
114,92,0.94,NO
294,93,0.95,NO
161,88,0.89,NO
81,94,0.94,NO
86,84,0.84,NO
225,84,0.84,NO
421,86,0.86,NO
29,87,0.85,NO
438,94,0.91,NO
157,100,0.96,NO
282,74,0.71,NO
269,98,0.94,NO
384,98,0.94,NO
325,96,0.92,NO
395,103,0.98,NO
150,32,0.3,YES
295,101,0.94,NO
188,100,0.92,NO
382,103,0.94,NO
313,90,0.82,NO
202,96,0.87,NO
187,109,0.98,NO
324,100,0.89,NO
293,106,0.94,NO
275,26,0.23,NO
35,58,0.51,NO
88,33,0.29,NO
133,94,0.82,YES
76,109,0.95,YES
316,107,0.93,NO
177,99,0.86,NO
289,101,0.86,NO
335,101,0.86,NO
250,111,0.94,NO
299,111,0.94,NO
226,117,0.99,NO
345,64,0.54,NO
296,38,0.32,NO
169,113,0.95,NO
285,100,0.84,NO
33,109,0.91,NO
61,109,0.91,YES
257,89,0.74,NO
227,94,0.76,NO
89,104,0.84,NO
245,92,0.74,NO
115,45,0.36,NO
308,105,0.84,NO
87,34,0.27,NO
220,34,0.27,NO
221,34,0.27,NO
60,106,0.84,NO
292,106,0.84,NO
235,125,0.99,NO
28,62,0.49,NO
59,126,0.99,NO
367,125,0.97,NO
139,102,0.79,NO
