ID,Size,Predicted,Actual
80,55,0.93,NO
23,27,0.43,NO
71,58,0.91,YES
25,60,0.87,NO
215,63,0.85,NO
230,64,0.86,NO
17,32,0.4,NO
22,46,0.54,YES
98,30,0.35,NO
124,74,0.86,NO
206,31,0.36,NO
94,88,1.0,NO
108,77,0.87,YES
214,77,0.86,YES
70,90,1.0,YES
30,91,0.95,YES
9,31,0.32,NO
185,92,0.94,YES
18,66,0.66,NO
112,49,0.46,NO
27,88,0.73,YES
199,36,0.29,NO
97,127,0.98,NO
26,62,0.47,YES
65,132,1.0,NO
57,27,0.2,NO
211,27,0.2,NO
222,22,0.16,NO
122,67,0.48,NO
275,74,0.53,NO
58,88,0.63,YES
163,63,0.45,NO
172,56,0.4,NO
28,52,0.36,YES
202,29,0.2,NO
201,67,0.45,NO
203,72,0.48,NO
37,55,0.36,NO
261,57,0.37,NO
39,65,0.41,NO
100,101,0.63,NO
21,158,0.98,YES
253,31,0.19,NO
198,28,0.17,NO
260,28,0.17,NO
129,163,0.98,YES
101,167,1.0,YES
193,32,0.19,NO
256,32,0.19,NO
197,27,0.16,NO
227,27,0.16,NO
123,166,0.97,NO
207,77,0.44,YES
7,51,0.29,NO
237,36,0.2,NO
195,35,0.19,NO
264,35,0.19,NO
273,63,0.33,YES
217,191,0.99,YES
141,58,0.3,NO
154,58,0.3,NO
225,58,0.3,NO
238,58,0.3,NO
267,58,0.3,NO
139,165,0.83,NO
19,187,0.94,YES
11,196,0.98,NO
128,64,0.32,YES
245,60,0.3,NO
246,86,0.42,NO
224,62,0.3,NO
239,62,0.3,NO
50,127,0.61,NO
92,210,1.0,YES
133,63,0.3,NO
232,63,0.3,NO
144,36,0.17,NO
91,183,0.86,NO
234,64,0.3,NO
296,64,0.3,NO
118,92,0.43,YES
0,215,1.0,NO
47,84,0.39,NO
46,153,0.71,NO
5,216,1.0,NO
8,150,0.69,NO
252,85,0.39,YES
254,57,0.26,NO
269,57,0.26,NO
51,79,0.36,YES
162,66,0.3,NO
86,69,0.3,YES
145,37,0.16,NO
204,37,0.16,NO
233,37,0.16,NO
259,80,0.34,NO
66,236,1.0,YES
95,71,0.3,NO
150,71,0.3,NO
83,38,0.16,YES
146,38,0.16,NO
130,72,0.3,NO
271,154,0.64,NO
283,241,1.0,YES
209,81,0.33,YES
294,246,1.0,YES
143,74,0.3,NO
220,74,0.3,NO
241,74,0.3,NO
243,74,0.3,NO
119,100,0.39,NO
216,76,0.29,NO
286,76,0.29,NO
228,77,0.29,NO
279,265,0.99,YES
251,78,0.29,NO
266,79,0.29,YES
196,85,0.31,NO
85,39,0.14,NO
147,39,0.14,NO
250,39,0.14,NO
93,249,0.89,YES
288,272,0.96,YES
1,271,0.95,NO
126,152,0.52,YES
161,41,0.14,NO
174,41,0.14,NO
181,41,0.14,NO
131,42,0.14,NO
171,42,0.14,NO
173,51,0.17,NO
268,51,0.17,NO
106,43,0.14,NO
170,43,0.14,NO
180,43,0.14,NO
67,227,0.73,NO
284,124,0.39,NO
205,51,0.16,NO
160,103,0.32,NO
293,52,0.16,NO
14,255,0.77,YES
248,53,0.16,NO
289,53,0.16,NO
81,256,0.77,YES
282,241,0.72,NO
