Id,Size,Prob,NormProb,Actual
175,84,0.67,0.00797619,false
33,31,0.24,0.0077419356,false
358,91,0.66,0.007252747,false
88,92,0.66,0.007173913,false
461,92,0.66,0.007173913,false
520,92,0.66,0.007173913,false
256,81,0.56,0.0069135805,false
507,123,0.84,0.0068292683,false
587,123,0.84,0.0068292683,false
369,125,0.84,0.00672,false
583,125,0.84,0.00672,false
76,126,0.84,0.006666667,true
329,127,0.84,0.0066141733,false
363,127,0.84,0.0066141733,false
203,32,0.21,0.0065625,false
257,78,0.5,0.0064102565,false
268,76,0.48,0.0063157897,false
260,77,0.48,0.006233766,false
19,83,0.51,0.006144578,false
127,90,0.51,0.0056666667,false
148,39,0.22,0.0056410255,false
261,72,0.4,0.0055555557,false
262,72,0.4,0.0055555557,false
165,73,0.39,0.005342466,false
266,96,0.51,0.0053125,false
254,99,0.51,0.0051515154,false
253,68,0.34,0.005,false
16,103,0.51,0.004951456,false
202,71,0.33,0.0046478873,false
258,69,0.32,0.004637681,false
259,69,0.32,0.004637681,false
368,139,0.63,0.004532374,false
613,139,0.63,0.004532374,false
110,140,0.62,0.0044285716,false
425,141,0.62,0.004397163,false
112,142,0.62,0.004366197,false
608,196,0.85,0.004336735,false
486,143,0.62,0.004335664,false
64,90,0.39,0.004333333,false
648,210,0.9,0.004285714,false
252,131,0.56,0.0042748093,false
584,200,0.85,0.00425,false
346,212,0.9,0.004245283,false
366,212,0.9,0.004245283,false
537,213,0.9,0.0042253523,false
547,202,0.85,0.0042079207,false
101,214,0.9,0.0042056073,false
392,214,0.9,0.0042056073,false
531,214,0.9,0.0042056073,false
645,214,0.9,0.0042056073,false
328,204,0.85,0.004166667,false
263,63,0.26,0.004126984,false
270,63,0.26,0.004126984,false
606,206,0.85,0.0041262135,false
356,145,0.59,0.0040689656,false
389,145,0.59,0.0040689656,false
340,234,0.95,0.0040598293,false
80,237,0.95,0.004008439,false
379,237,0.95,0.004008439,false
70,205,0.82,0.004,true
341,239,0.95,0.0039748955,false
36,175,0.69,0.003942857,false
399,241,0.95,0.003941909,false
93,252,0.99,0.0039285715,false
646,252,0.99,0.0039285715,false
178,102,0.4,0.003921569,false
122,248,0.97,0.0039112903,false
496,254,0.99,0.0038976378,false
91,244,0.95,0.0038934427,false
317,250,0.97,0.00388,false
182,80,0.31,0.003875,false
395,256,0.99,0.0038671875,false
166,257,0.99,0.0038521402,false
13,55,0.21,0.0038181818,false
303,261,0.99,0.0037931034,false
384,261,0.99,0.0037931034,false
92,204,0.77,0.0037745098,true
267,40,0.15,0.00375,false
153,263,0.98,0.0037262358,false
629,263,0.98,0.0037262358,false
120,264,0.98,0.0037121212,false
588,266,0.98,0.0036842106,false
411,267,0.98,0.0036704119,false
54,41,0.15,0.0036585366,false
204,272,0.99,0.003639706,false
380,273,0.99,0.0036263736,false
471,277,0.99,0.0035740072,false
77,167,0.59,0.0035329342,true
199,279,0.985,0.003530466,false
337,281,0.985,0.003505338,false
462,282,0.985,0.0034929079,false
121,43,0.15,0.003488372,false
609,287,0.985,0.0034320557,false
14,204,0.68,0.0033333334,false
124,199,0.65,0.0032663317,false
250,111,0.36,0.0032432433,false
63,152,0.48,0.0031578948,false
149,182,0.57,0.003131868,false
9,45,0.14,0.003111111,false
272,45,0.14,0.003111111,false
71,190,0.58,0.0030526316,false
42,224,0.68,0.0030357144,false
174,142,0.43,0.003028169,false
30,314,0.95,0.0030254778,false
60,90,0.27,0.003,false
61,90,0.27,0.003,false
517,90,0.27,0.003,false
529,90,0.27,0.003,false
614,90,0.27,0.003,false
190,226,0.67,0.0029646019,true
27,68,0.2,0.0029411765,false
639,277,0.81,0.0029241878,true
633,288,0.835,0.0028993057,false
265,28,0.08,0.0028571428,false
62,271,0.77,0.0028413285,true
255,53,0.15,0.0028301887,false
246,294,0.83,0.0028231293,false
123,310,0.87,0.0028064516,true
155,76,0.21,0.002763158,false
32,211,0.58,0.002748815,false
146,92,0.25,0.0027173914,false
139,275,0.73,0.0026545455,false
41,373,0.99,0.0026541555,false
269,49,0.13,0.0026530612,false
264,50,0.13,0.0026,false
407,120,0.31,0.0025833333,false
217,288,0.74,0.0025694445,false
215,289,0.74,0.0025605536,false
15,55,0.14,0.0025454545,false
271,55,0.14,0.0025454545,false
214,59,0.15,0.0025423728,false
73,207,0.52,0.0025120773,true
311,117,0.29,0.0024786324,false
442,117,0.29,0.0024786324,false
601,117,0.29,0.0024786324,false
