ID,Size,Predicted,Actual
297,38,0.69,NO
339,38,0.69,NO
399,38,0.69,NO
473,38,0.69,NO
240,61,0.99,NO
281,61,0.99,NO
87,69,1.0,NO
236,69,1.0,NO
99,70,1.0,NO
409,70,1.0,NO
529,70,1.0,NO
265,73,1.0,NO
279,73,1.0,NO
349,73,1.0,NO
171,71,0.91,NO
346,71,0.91,NO
358,71,0.91,NO
405,71,0.91,NO
505,83,0.99,NO
160,71,0.81,YES
75,89,1.0,NO
384,89,1.0,NO
434,89,1.0,NO
319,91,1.0,NO
404,94,1.0,NO
471,94,1.0,NO
615,94,1.0,NO
30,87,0.91716665,NO
296,87,0.91716665,NO
373,87,0.91716665,NO
309,95,0.99,NO
376,95,0.99,NO
124,101,1.0,NO
259,101,1.0,NO
305,101,1.0,NO
472,101,1.0,NO
512,101,1.0,NO
78,92,0.91,NO
134,92,0.91,NO
422,92,0.91,NO
481,92,0.91,NO
190,89,0.86,NO
51,90,0.86,NO
48,94,0.87,NO
207,99,0.91,NO
518,99,0.91,NO
383,48,0.40572876,NO
496,48,0.40572876,NO
537,48,0.40572876,NO
596,48,0.40572876,NO
368,120,1.0,NO
357,119,0.99,NO
485,105,0.8716281,NO
222,99,0.79,NO
238,115,0.91,NO
34,118,0.89,NO
185,100,0.75,YES
218,100,0.75,NO
310,116,0.87,NO
342,116,0.87,NO
462,100,0.75,NO
501,100,0.75,NO
579,116,0.87,NO
243,106,0.7644167,NO
469,106,0.7644167,NO
39,106,0.76,NO
100,140,1.0,NO
89,97,0.69,NO
203,108,0.74,NO
231,80,0.54,NO
53,138,0.9,NO
12,83,0.53,NO
35,83,0.53,NO
411,160,1.0,NO
367,161,1.0,NO
550,162,1.0,NO
317,145,0.8933615,NO
350,145,0.8933615,NO
54,79,0.48533165,NO
92,79,0.48533165,NO
334,79,0.48533165,NO
586,79,0.48533165,NO
500,159,0.97,NO
36,147,0.8933615,NO
56,147,0.8933615,NO
470,106,0.64,NO
133,148,0.8933615,NO
188,148,0.8933615,NO
291,148,0.8933615,NO
387,148,0.8933615,NO
230,158,0.92,NO
197,59,0.34,NO
15,40,0.23,NO
375,40,0.23,NO
132,174,0.99,NO
304,174,0.99,NO
509,155,0.8787381,NO
386,141,0.79,NO
77,166,0.92,NO
5,163,0.9,NO
33,163,0.9,NO
253,163,0.9,NO
306,176,0.97,NO
144,160,0.88,YES
102,142,0.78,NO
139,88,0.48233333,NO
328,88,0.48233333,NO
554,88,0.48233333,NO
109,185,1.0,NO
272,117,0.63,NO
403,117,0.63,NO
562,117,0.63,NO
98,172,0.92,NO
261,187,1.0,NO
60,189,1.0,YES
326,171,0.9,NO
391,171,0.9,NO
224,120,0.63,NO
49,191,1.0,NO
