ID,Size,Predicted,Actual
0,215,0.99,NO
1,271,0.94,NO
2,458,0.98,NO
3,137,1.0,NO
4,357,0.94,NO
5,1242,0.24,YES
6,51,1.0,NO
7,154,1.0,NO
8,31,1.0,NO
9,928,0.98,NO
10,180,1.0,NO
11,260,0.93,NO
12,551,1.0,NO
13,40,1.0,NO
14,361,0.98,NO
15,388,0.96,NO
16,51,0.92,NO
17,577,0.23,NO
18,32,1.0,NO
19,66,1.0,NO
20,188,0.28,NO
21,582,0.54,NO
22,158,1.0,NO
23,50,1.0,NO
24,27,1.0,NO
25,928,0.23,NO
26,60,1.0,NO
27,62,1.0,NO
28,87,1.0,NO
29,52,1.0,NO
30,268,0.92,NO
31,163,1.0,NO
32,109,1.0,NO
33,147,1.0,NO
34,58,1.0,NO
35,44,1.0,NO
36,106,0.8,NO
37,139,1.0,NO
38,326,0.41,YES
39,648,0.27,YES
40,778,0.31,NO
41,314,1.0,NO
42,55,1.0,NO
43,191,1.0,NO
44,90,1.0,NO
45,273,0.95,NO
46,137,0.26,NO
47,79,0.32,NO
48,82,1.0,NO
49,147,1.0,NO
50,422,0.96,NO
51,978,0.29,NO
52,467,0.2,NO
53,189,0.37,NO
54,153,0.49,YES
55,84,1.0,NO
56,182,1.0,NO
57,358,0.26,NO
58,126,0.35,NO
59,106,1.0,NO
60,109,1.0,NO
61,85,1.0,NO
62,236,0.21,NO
63,314,1.0,NO
64,694,1.0,NO
65,27,1.0,NO
66,89,1.0,NO
67,301,0.22,NO
68,153,0.29,YES
69,92,0.46,NO
70,466,0.21,YES
71,93,0.43,NO
72,244,0.18,NO
73,192,0.34,NO
74,250,0.11,NO
75,109,1.0,NO
76,601,0.93,NO
77,565,0.98,NO
78,69,0.43,NO
79,77,1.0,NO
80,94,1.0,NO
81,337,0.58,NO
82,214,0.87,NO
83,79,0.93,NO
84,25,1.0,NO
85,84,0.95,NO
86,34,0.99,NO
87,33,0.99,NO
88,104,0.96,NO
89,172,0.88,NO
90,70,1.0,NO
91,140,0.94,NO
92,154,0.89,NO
93,248,0.98,NO
94,275,1.0,NO
95,176,1.0,NO
96,624,0.35,NO
97,91,1.0,NO
98,58,1.0,NO
99,132,1.0,NO
100,4088,0.99,NO
101,558,0.4,NO
102,727,0.33,NO
103,150,1.0,NO
104,503,0.97,YES
105,325,0.97,NO
106,273,0.94,NO
107,136,0.99,NO
108,56,0.99,NO
109,74,0.99,NO
110,357,0.96,NO
111,174,1.0,NO
112,148,1.0,NO
113,92,1.0,NO
114,45,1.0,NO
115,168,0.95,NO
116,77,0.97,NO
117,664,0.45,NO
118,88,0.94,NO
119,260,0.45,NO
120,54,1.0,NO
121,48,1.0,NO
122,140,1.0,NO
123,152,0.32,NO
124,39,1.0,NO
125,131,1.0,NO
126,47,1.0,NO
127,129,0.9566666666666667,NO
128,43,1.0,NO
129,243,0.99,NO
130,62,0.53,NO
131,45,0.6133333333333333,NO
132,94,1.0,NO
133,72,1.0,NO
134,42,1.0,NO
135,48,1.0,NO
136,89,0.92,NO
137,380,0.97,NO
138,138,0.98,NO
139,142,0.57,NO
140,191,0.99,NO
141,46,1.0,NO
142,165,1.0,NO
143,171,1.0,NO
144,56,0.91,NO
145,179,0.84,NO
146,74,1.0,NO
147,36,1.0,NO
148,37,1.0,NO
149,34,0.99,NO
150,34,0.99,NO
151,38,1.0,NO
152,39,1.0,NO
153,156,0.02,NO
154,84,0.96,NO
155,117,0.27,NO
156,94,0.55,NO
157,71,0.52,NO
158,183,0.16,NO
159,85,0.46,NO
160,183,0.54,NO
161,70,0.77,NO
162,54,0.79,NO
163,160,0.02,NO
164,125,0.2,NO
165,151,0.17,NO
166,421,0.56,NO
167,219,0.5,NO
168,50,0.9,NO
169,42,0.95,NO
170,624,0.62,NO
171,377,0.95,NO
172,383,0.96,NO
173,72,1.0,NO
174,92,0.77,NO
175,284,0.24,NO
176,371,0.39,NO
177,47,0.9133333333333333,NO
178,108,1.0,NO
179,111,1.0,NO
180,319,0.94,NO
181,129,0.88,NO
182,49,0.96,NO
183,358,0.69,NO
184,277,0.65,NO
185,49,0.94,NO
186,89,0.62,NO
187,41,1.0,NO
188,66,1.0,NO
189,63,1.0,NO
190,24,0.97,NO
191,50,1.0,NO
192,72,0.93,NO
193,47,0.97,NO
194,47,1.0,NO
195,183,1.0,NO
196,49,1.0,NO
197,50,1.0,NO
198,98,1.0,NO
199,143,1.0,NO
200,43,1.0,NO
201,42,1.0,NO
202,56,1.0,NO
203,44,0.9466666666666667,NO
204,26,0.94,NO
205,254,0.99,NO
206,16883,0.74,NO
207,74,0.99,NO
208,153,1.0,NO
209,68,0.84,NO
210,100,0.99,NO
211,549,0.24,NO
212,437,0.97,NO
213,1033,0.22,NO
214,101,1.0,NO
215,331,1.0,NO
216,123,0.96,NO
217,106,0.98,NO
218,106,1.0,NO
219,93,0.99,NO
220,101,1.0,NO
221,38,1.0,NO
222,584,0.99,YES
223,32,1.0,NO
224,111,1.0,NO
225,35,1.0,NO
226,90,1.0,NO
227,27,1.0,NO
228,28,1.0,NO
229,92,1.0,NO
230,885,0.97,NO
231,67,1.0,NO
232,29,1.0,NO
233,105,0.99,NO
234,72,1.0,NO
235,37,1.0,NO
236,47,1.0,NO
237,31,1.0,NO
238,90,0.93,NO
239,223,1.0,NO
240,214,0.93,NO
241,107,0.93,NO
242,37,1.0,NO
243,27,1.0,NO
244,48,1.0,NO
245,166,0.88,NO
246,213,0.94,NO
247,866,0.98,NO
248,159,0.98,NO
249,100,1.0,NO
250,96,0.93,NO
251,841,0.95,NO
252,525,1.0,NO
253,83,1.0,NO
254,63,1.0,NO
255,76,1.0,NO
256,202,0.99,NO
257,155,0.45,NO
258,1262,0.19,NO
259,74,1.0,NO
260,101,0.33,NO
261,27,1.0,NO
262,22,1.0,NO
263,489,0.35,NO
264,62,1.0,NO
265,59,0.97,NO
266,99,0.99,NO
267,27,1.0,NO
268,77,1.0,NO
269,846,0.27,NO
270,64,0.98,NO
271,45,1.0,NO
272,63,1.0,NO
273,54,1.0,NO
274,64,1.0,NO
275,132,0.99,NO
276,177,1.0,NO
277,70,0.94,NO
278,36,1.0,NO
279,58,1.0,NO
280,62,1.0,NO
281,132,1.0,NO
282,74,1.0,NO
283,83,1.0,NO
284,74,1.0,NO
285,48,1.0,NO
286,74,1.0,NO
287,86,1.0,NO
288,355,0.42,NO
289,53,1.0,NO
290,798,0.99,NO
291,75,0.99,NO
292,125,1.0,NO
293,200,1.0,NO
294,134,0.95,NO
295,57,1.0,NO
296,123,0.98,NO
297,204,0.5,YES
298,162,0.68,NO
299,130,0.99,YES
300,108,0.82,YES
301,353,0.97,YES
302,80,1.0,YES
303,28,1.0,NO
304,57,1.0,NO
305,306,0.11,YES
306,340,0.83,YES
307,103,1.0,NO
308,35,1.0,NO
309,98,1.0,NO
310,117,0.9633333333333333,NO
