ID,Size,Predicted,Actual
235,56,0.8,NO
311,56,0.8,NO
229,25,0.25,NO
164,43,0.34,NO
342,86,0.66,NO
269,87,0.66,NO
346,87,0.66,NO
301,88,0.66,NO
343,82,0.6,NO
246,84,0.61,NO
253,84,0.61,NO
292,91,0.66,NO
308,37,0.26,NO
282,95,0.66,NO
349,95,0.66,NO
286,36,0.25,NO
267,96,0.64,NO
106,47,0.31,NO
296,98,0.64,NO
232,101,0.64,NO
278,101,0.64,NO
316,35,0.21,NO
210,104,0.62,NO
216,106,0.63,NO
276,107,0.63,NO
337,107,0.63,NO
259,109,0.63,NO
211,115,0.62,NO
245,117,0.63,NO
283,116,0.62,NO
315,116,0.62,NO
270,38,0.2,NO
312,38,0.2,NO
330,119,0.61,NO
341,120,0.61,NO
213,61,0.3,NO
254,61,0.3,NO
236,39,0.19,NO
136,97,0.47,YES
320,62,0.3,NO
348,40,0.19,NO
96,189,0.88,YES
323,145,0.67,NO
55,167,0.76,NO
217,33,0.15,NO
281,33,0.15,NO
293,129,0.58,NO
317,129,0.58,NO
263,127,0.57,NO
297,127,0.57,NO
303,125,0.56,NO
97,194,0.84,NO
224,135,0.57,NO
294,138,0.58,NO
56,86,0.36,NO
302,139,0.58,NO
540,204,0.81,NO
290,145,0.57,NO
226,163,0.63,NO
264,148,0.57,NO
247,226,0.87,NO
268,26,0.1,NO
242,164,0.63,NO
288,164,0.63,NO
257,165,0.63,NO
222,168,0.63,NO
335,27,0.1,NO
265,169,0.62,NO
340,161,0.59,NO
439,104,0.38,NO
299,171,0.62,NO
230,180,0.65,NO
309,181,0.65,NO
291,151,0.54,NO
277,174,0.62,NO
279,176,0.62,NO
306,63,0.22,NO
215,179,0.62,NO
250,153,0.52,NO
542,196,0.65,YES
227,184,0.61,NO
266,157,0.52,NO
338,157,0.52,NO
327,192,0.63,NO
234,187,0.61,NO
262,204,0.66,NO
284,28,0.09,NO
289,193,0.61,NO
508,86,0.27,NO
333,241,0.74,NO
280,212,0.65,NO
300,212,0.65,NO
295,222,0.68,NO
274,234,0.71,NO
313,237,0.71,NO
326,214,0.64,NO
275,239,0.71,NO
251,250,0.74,NO
329,256,0.75,NO
237,261,0.75,NO
318,261,0.75,NO
298,77,0.22,NO
231,64,0.18,NO
241,64,0.18,NO
345,267,0.75,NO
344,29,0.08,NO
314,273,0.75,NO
271,281,0.74,NO
522,266,0.68,NO
359,141,0.36,NO
219,295,0.74,NO
339,300,0.74,NO
93,156,0.38,NO
307,79,0.19,NO
98,346,0.81,NO
23,160,0.37,YES
558,303,0.7,YES
325,322,0.74,NO
567,288,0.66,NO
249,323,0.74,NO
240,329,0.75,NO
99,304,0.66,YES
8,157,0.34,NO
527,88,0.19,NO
239,65,0.14,NO
336,66,0.14,NO
350,337,0.71,NO
273,339,0.71,NO
332,340,0.71,NO
573,276,0.57,YES
202,223,0.45,NO
551,415,0.83,NO
397,371,0.74,NO
392,377,0.74,NO
358,380,0.74,NO
393,383,0.74,YES
304,78,0.15,NO
324,413,0.79,NO
175,389,0.74,YES
550,243,0.46,YES
351,376,0.71,NO
212,421,0.79,NO
58,361,0.67,YES
334,54,0.1,NO
188,402,0.74,YES
360,148,0.27,NO
157,408,0.74,YES
353,399,0.72,NO
272,380,0.68,NO
178,418,0.74,NO
51,422,0.74,YES
541,438,0.76,NO
221,444,0.77,NO
261,75,0.13,NO
248,76,0.13,NO
256,76,0.13,NO
437,437,0.74,NO
158,462,0.74,YES
228,51,0.08,NO
207,476,0.74,NO
388,221,0.34,NO
154,420,0.64,NO
444,94,0.14,NO
209,69,0.1,NO
258,504,0.73,NO
16,390,0.56,NO
233,512,0.73,NO
319,71,0.1,NO
