Id,Size,Prob,NormProb,Actual
199,55,0.8,0.014545455,false
198,65,0.78,0.012,false
223,38,0.4415,0.011618421,false
110,56,0.63,0.01125,false
87,84,0.92,0.010952381,false
226,84,0.9,0.010714286,false
258,89,0.95,0.010674157,false
118,77,0.82,0.0106493505,false
85,79,0.83,0.010506329,false
246,92,0.96,0.010434783,false
88,34,0.35,0.010294118,false
415,41,0.42,0.010243902,false
132,62,0.59,0.009516129,false
229,71,0.67,0.0094366195,false
264,72,0.67,0.009305555,false
434,62,0.56,0.009032258,false
134,94,0.845,0.008989362,false
410,79,0.7,0.008860759,false
222,34,0.3,0.00882353,false
89,33,0.29,0.008787879,false
153,64,0.56166667,0.008776042,false
80,69,0.605,0.008768116,false
285,68,0.58,0.008529412,false
197,56,0.47,0.008392857,false
178,99,0.82,0.008282828,false
192,67,0.55,0.008208956,false
233,70,0.57,0.008142857,false
367,75,0.61,0.008133333,false
196,64,0.5183333,0.008098958,false
135,35,0.28,0.008,false
193,74,0.59,0.007972973,false
130,43,0.34,0.007906977,false
305,92,0.72,0.007826087,false
399,90,0.69,0.0076666665,false
162,88,0.67,0.0076136366,false
30,87,0.66,0.007586207,false
120,88,0.6675,0.0075852275,false
422,86,0.65,0.0075581395,false
144,80,0.6,0.0075,false
90,104,0.76166666,0.007323718,false
50,82,0.59,0.007195122,false
297,38,0.27166668,0.0071491227,false
395,35,0.25,0.007142857,false
46,90,0.64,0.007111111,false
49,79,0.56,0.0070886076,false
262,24,0.17,0.0070833336,false
296,101,0.71,0.007029703,false
411,84,0.59,0.0070238095,false
359,83,0.58,0.0069879517,false
234,54,0.37,0.006851852,false
309,105,0.715,0.006809524,false
396,103,0.69,0.0066990294,false
109,136,0.91,0.0066911764,false
158,100,0.65,0.0065,false
370,134,0.87,0.0064925374,false
140,102,0.6591667,0.0064624185,false
92,70,0.45,0.0064285714,false
216,56,0.36,0.0064285714,false
241,42,0.27,0.0064285714,false
353,70,0.45,0.0064285714,false
71,92,0.59,0.0064130435,false
38,106,0.67,0.0063207545,false
208,89,0.56,0.006292135,false
341,59,0.37,0.0062711863,false
188,109,0.68,0.0062385323,false
73,93,0.57,0.0061290325,false
295,93,0.57,0.0061290325,false
314,90,0.55,0.006111111,false
317,107,0.65,0.006074766,false
336,101,0.61,0.006039604,false
376,108,0.65,0.0060185185,false
225,156,0.91,0.0058333334,false
235,160,0.93,0.0058125,false
326,96,0.55333334,0.005763889,false
368,125,0.72,0.00576,false
115,92,0.5251667,0.005708333,false
62,109,0.62,0.0056880736,false
227,117,0.66,0.0056410255,false
86,25,0.14,0.0056,false
94,154,0.86,0.0055844155,false
406,36,0.2,0.0055555557,false
407,36,0.2,0.0055555557,false
408,36,0.2,0.0055555557,false
419,137,0.76,0.0055474453,false
129,129,0.71,0.005503876,false
29,62,0.34,0.005483871,false
325,100,0.54833335,0.0054833335,false
294,106,0.58,0.005471698,false
324,159,0.86,0.005408805,false
236,125,0.67,0.00536,false
228,94,0.5,0.005319149,false
60,126,0.67,0.0053174603,false
374,162,0.86,0.005308642,false
253,129,0.68,0.005271318,false
351,132,0.69,0.005227273,false
279,104,0.54,0.0051923078,false
48,137,0.7,0.005109489,false
77,109,0.55,0.0050458717,false
202,147,0.74,0.0050340137,false
91,172,0.86,0.005,false
93,140,0.7,0.005,false
231,85,0.42,0.0049411766,false
386,117,0.5775,0.0049358974,false
165,59,0.29,0.004915254,false
203,96,0.46833333,0.004878472,false
125,152,0.74,0.0048684212,false
283,74,0.36,0.004864865,false
230,183,0.89,0.004863388,false
435,60,0.29,0.004833333,false
36,58,0.28,0.004827586,false
286,100,0.48,0.0048,false
170,113,0.54,0.004778761,false
51,147,0.7,0.004761905,false
293,106,0.5,0.004716981,false
312,47,0.22,0.004680851,false
6,163,0.76,0.0046625766,false
232,183,0.84,0.004590164,false
398,139,0.63,0.004532374,false
237,151,0.68,0.004503311,false
82,94,0.42316666,0.004501773,false
111,74,0.33,0.0044594593,false
333,155,0.69,0.004451613,false
33,163,0.725,0.0044478527,false
221,34,0.15,0.004411765,false
177,59,0.26,0.0044067795,false
161,148,0.65,0.004391892,false
217,179,0.78,0.004357542,false
169,114,0.495,0.0043421052,false
70,153,0.66,0.0043137255,false
35,147,0.633881,0.0043121153,false
124,140,0.6,0.004285714,false
114,148,0.633881,0.0042829793,false
271,143,0.61138093,0.0042753913,false
250,108,0.46,0.0042592594,false
439,94,0.4,0.004255319,false
429,55,0.23,0.004181818,false
58,182,0.76,0.004175824,false
75,192,0.8,0.004166667,false
191,118,0.49,0.0041525424,false
372,123,0.51,0.0041463412,false
146,221,0.91,0.004117647,false
164,65,0.265,0.0040769232,false
375,130,0.53,0.0040769232,false
204,52,0.21,0.0040384615,false
215,171,0.69,0.004035088,false
322,213,0.85,0.00399061,false
321,166,0.66,0.0039759036,false
168,43,0.17,0.0039534885,false
315,223,0.88,0.0039461884,false
174,69,0.27,0.0039130435,false
200,187,0.73,0.0039037433,false
307,67,0.26,0.003880597,false
61,106,0.41,0.0038679244,false
131,243,0.93,0.0038271605,false
401,231,0.88,0.0038095238,true
369,200,0.76,0.0038,false
99,91,0.345,0.0037912088,false
239,219,0.83,0.0037899544,false
176,230,0.87,0.0037826088,false
160,178,0.67,0.003764045,false
332,202,0.76,0.0037623763,false
166,131,0.49,0.003740458,false
34,109,0.4,0.0036697248,false
22,188,0.68,0.0036170213,false
76,250,0.89,0.00356,false
316,214,0.76,0.003551402,false
403,116,0.41,0.0035344828,false
194,153,0.54,0.0035294117,false
189,100,0.35,0.0035,false
55,189,0.66,0.0034920634,false
149,230,0.8,0.003478261,false
211,142,0.49,0.0034507043,false
393,172,0.59,0.0034302326,true
84,214,0.73,0.003411215,false
378,80,0.27,0.003375,false
210,138,0.46,0.0033333334,false
74,244,0.81,0.003319672,false
346,64,0.21,0.00328125,false
290,101,0.33,0.0032673266,false
417,258,0.81,0.003139535,false
1,215,0.67,0.0031162791,false
394,287,0.89,0.0031010453,false
404,178,0.55,0.0030898876,false
256,277,0.85,0.0030685922,false
424,269,0.81,0.0030111524,false
373,204,0.6,0.0029411765,false
69,301,0.88,0.002923588,false
141,226,0.66,0.002920354,false
409,300,0.87,0.0029,true
108,273,0.79,0.002893773,false
251,111,0.32,0.002882883,false
300,111,0.32,0.002882883,false
391,197,0.56,0.0028426396,false
64,236,0.67,0.002838983,false
32,268,0.75,0.0027985075,false
145,268,0.75,0.0027985075,false
65,314,0.87,0.0027707007,false
292,123,0.34,0.0027642276,false
138,295,0.81,0.0027457627,false
56,153,0.42,0.002745098,false
171,309,0.84,0.0027184465,false
281,254,0.69,0.0027165355,false
247,284,0.76,0.0026760562,false
47,273,0.73,0.0026739927,false
13,260,0.69,0.002653846,false
59,358,0.95,0.0026536314,false
159,342,0.9,0.002631579,false
412,365,0.94,0.0025753425,false
418,280,0.72,0.0025714287,false
172,389,1.0,0.002570694,false
428,308,0.79,0.002564935,false
117,168,0.43,0.0025595238,false
342,99,0.25,0.0025252525,false
430,214,0.54,0.0025233645,false
143,378,0.95,0.0025132275,false
31,52,0.13,0.0025,false
190,185,0.46,0.0024864865,false
116,45,0.11,0.0024444445,false
157,340,0.83,0.0024411764,false
40,326,0.79,0.002423313,false
255,358,0.86,0.0024022346,false
163,325,0.78,0.0024,false
423,359,0.86,0.0023955433,false
139,355,0.85,0.0023943663,false
243,377,0.9,0.002387268,false
291,331,0.79,0.0023867069,false
402,399,0.94,0.0023558897,false
97,176,0.41,0.0023295456,false
152,359,0.83,0.0023119778,false
107,325,0.75,0.0023076923,false
276,26,0.06,0.0023076923,false
123,48,0.11,0.0022916666,false
209,380,0.87,0.0022894738,false
302,90,0.206,0.002288889,false
155,408,0.93,0.0022794118,false
185,402,0.9,0.0022388059,false
173,273,0.61,0.0022344321,false
392,430,0.96,0.002232558,false
136,283,0.63,0.0022261485,false
150,36,0.08,0.0022222223,false
238,421,0.93,0.0022090261,false
278,41,0.09,0.002195122,false
382,340,0.74,0.0021764706,false
156,462,1.0,0.0021645022,false
95,248,0.53,0.0021370968,false
96,275,0.58,0.0021090908,false
248,371,0.78,0.0021024258,false
54,467,0.98,0.002098501,false
9,154,0.32,0.002077922,false
244,383,0.79,0.0020626632,false
37,44,0.09,0.0020454545,false
72,466,0.95,0.0020386267,false
349,54,0.11,0.002037037,false
377,353,0.71,0.0020113315,false
105,150,0.3,0.002,false
154,208,0.41,0.0019711538,false
413,306,0.6,0.0019607844,false
433,206,0.4,0.0019417476,false
5,357,0.68,0.0019047619,false
400,297,0.56,0.0018855219,false
142,153,0.2875,0.001879085,false
151,32,0.06,0.001875,false
181,258,0.48,0.0018604652,false
16,361,0.67,0.0018559557,false
106,503,0.93,0.0018489065,false
24,158,0.29,0.0018354431,false
328,525,0.96,0.0018285714,false
275,44,0.08,0.0018181818,false
329,83,0.15,0.0018072289,false
436,321,0.58,0.0018068536,false
112,357,0.64,0.0017927171,false
414,263,0.47,0.0017870723,false
183,551,0.98,0.0017785844,false
133,45,0.08,0.0017777778,false
381,306,0.54,0.0017647059,false
352,177,0.31,0.0017514124,false
287,549,0.95,0.001730419,false
45,191,0.33,0.0017277487,false
17,388,0.67,0.0017268041,false
438,47,0.08,0.0017021276,false
220,37,0.06266667,0.0016936937,false
311,37,0.06266667,0.0016936937,false
318,37,0.06266667,0.0016936937,false
180,558,0.94,0.0016845878,false
212,191,0.32,0.0016753926,false
437,329,0.55,0.0016717325,false
79,565,0.94,0.0016637169,false
284,153,0.25366667,0.0016579521,false
43,314,0.52,0.0016560509,false
339,489,0.79,0.0016155419,false
14,551,0.89,0.001615245,false
201,617,0.99,0.0016045381,false
25,50,0.08,0.0016,false
98,624,0.99,0.0015865385,false
288,437,0.69,0.0015789474,false
19,577,0.91,0.0015771231,false
18,51,0.08,0.0015686274,false
175,418,0.65,0.001555024,false
147,71,0.11,0.0015492957,false
214,165,0.255,0.0015454545,false
298,584,0.9,0.0015410959,false
426,308,0.47,0.001525974,false
21,66,0.1,0.0015151515,false
260,66,0.1,0.0015151515,false
280,54,0.08,0.0014814815,false
270,98,0.145,0.0014795918,false
385,98,0.145,0.0014795918,false
68,89,0.13,0.0014606741,false
41,648,0.94,0.0014506173,false
186,259,0.37,0.0014285714,false
121,260,0.37,0.001423077,false
167,648,0.91,0.0014043209,false
390,688,0.96,0.0013953488,false
23,582,0.81,0.0013917526,false
103,558,0.77,0.0013799283,false
364,355,0.48,0.0013521126,false
362,74,0.1,0.0013513514,false
252,319,0.43,0.0013479624,false
137,585,0.78,0.0013333333,false
3,458,0.61,0.0013318778,false
104,727,0.96,0.0013204952,false
66,694,0.91,0.0013112392,false
405,740,0.97,0.0013108108,false
57,84,0.11,0.0013095238,false
63,85,0.11,0.0012941177,false
179,762,0.97,0.0012729659,false
42,778,0.96,0.0012339331,false
366,798,0.95,0.0011904762,false
421,801,0.95,0.0011860175,false
345,846,0.98,0.0011583924,false
52,422,0.48,0.0011374408,false
184,243,0.27,0.0011111111,false
306,885,0.98,0.0011073446,false
327,841,0.9,0.0010701546,false
27,928,0.99,0.0010668103,false
11,928,0.98,0.0010560345,false
53,978,1.0,0.0010224949,false
242,624,0.63,0.0010096154,false
148,952,0.93,9.768908E-4,false
431,247,0.24,9.716599E-4,false
119,664,0.64,9.638554E-4,false
289,1033,0.98,9.4869314E-4,false
187,1038,0.95,9.152216E-4,false
383,103,0.09,8.737864E-4,false
416,170,0.145,8.529412E-4,false
128,47,0.04,8.510638E-4,false
4,137,0.11638095,8.49496E-4,false
39,139,0.11638095,8.37273E-4,false
78,601,0.5,8.3194673E-4,false
397,1198,0.99,8.263773E-4,false
257,49,0.04,8.1632653E-4,false
323,866,0.7,8.083141E-4,false
7,1242,0.96,7.7294686E-4,false
334,1262,0.96,7.606973E-4,false
337,27,0.02,7.4074074E-4,false
363,86,0.05,5.8139535E-4,false
265,47,0.02,4.255319E-4,false
254,49,0.02,4.0816327E-4,false
301,35,0.01,2.8571428E-4,false
384,35,0.01,2.8571428E-4,false
219,36,0.01,2.7777778E-4,false
354,36,0.01,2.7777778E-4,false
12,180,0.04,2.2222222E-4,false
102,4088,0.9,2.2015655E-4,false
267,183,0.04,2.1857924E-4,false
83,337,0.07,2.0771513E-4,false
113,174,0.035,2.0114942E-4,false
2,271,0.05,1.8450184E-4,false
350,64,0.01,1.5625E-4,false
432,64,0.01,1.5625E-4,false
81,77,0.01,1.2987012E-4,false
344,77,0.01,1.2987012E-4,false
126,39,0.005,1.2820512E-4,false
224,39,0.005,1.2820512E-4,false
101,132,0.01,7.5757576E-5,false
282,16883,0.91,5.3900374E-5,false
8,51,0.0,0.0,false
10,31,0.0,0.0,false
15,40,0.0,0.0,false
20,32,0.0,0.0,false
26,27,0.0,0.0,false
28,60,0.0,0.0,false
44,55,0.0,0.0,false
67,27,0.0,0.0,false
100,58,0.0,0.0,false
122,54,0.0,0.0,false
127,131,0.0,0.0,false
182,49,0.0,0.0,false
195,120,0.0,0.0,false
205,72,0.0,0.0,false
206,42,0.0,0.0,false
207,48,0.0,0.0,false
213,46,0.0,0.0,false
218,74,0.0,0.0,false
240,50,0.0,0.0,false
245,72,0.0,0.0,false
249,47,0.0,0.0,false
259,41,0.0,0.0,false
261,63,0.0,0.0,false
263,50,0.0,0.0,false
266,47,0.0,0.0,false
268,49,0.0,0.0,false
269,50,0.0,0.0,false
272,43,0.0,0.0,false
273,42,0.0,0.0,false
274,56,0.0,0.0,false
277,51,0.0,0.0,false
299,32,0.0,0.0,false
303,27,0.0,0.0,false
304,28,0.0,0.0,false
308,29,0.0,0.0,false
310,72,0.0,0.0,false
313,31,0.0,0.0,false
319,27,0.0,0.0,false
320,48,0.0,0.0,false
330,63,0.0,0.0,false
331,76,0.0,0.0,false
335,74,0.0,0.0,false
338,22,0.0,0.0,false
340,62,0.0,0.0,false
343,27,0.0,0.0,false
347,45,0.0,0.0,false
348,63,0.0,0.0,false
355,58,0.0,0.0,false
356,62,0.0,0.0,false
357,132,0.0,0.0,false
358,74,0.0,0.0,false
360,74,0.0,0.0,false
361,48,0.0,0.0,false
365,53,0.0,0.0,false
371,57,0.0,0.0,false
379,28,0.0,0.0,false
380,57,0.0,0.0,false
387,58,0.0,0.0,false
388,51,0.0,0.0,false
389,57,0.0,0.0,false
420,48,0.0,0.0,false
425,53,0.0,0.0,false
427,54,0.0,0.0,false
