ID,Size,Predicted,Actual
270,55,0.63,NO
14,55,0.61,NO
335,38,0.41495237,NO
377,38,0.41495237,NO
437,38,0.41495237,NO
511,38,0.41495237,NO
256,78,0.82,NO
259,77,0.8,NO
421,48,0.4757143,NO
534,48,0.4757143,NO
575,48,0.4757143,NO
634,48,0.4757143,NO
597,103,0.96,NO
610,103,0.96,NO
135,101,0.90390474,NO
297,101,0.90390474,NO
343,101,0.90390474,NO
510,101,0.90390474,NO
550,101,0.90390474,NO
215,102,0.90390474,NO
96,69,0.6015238,NO
274,69,0.6015238,NO
106,104,0.89,NO
275,104,0.89,NO
493,104,0.89,NO
504,104,0.89,NO
523,105,0.87,NO
63,90,0.74,NO
16,83,0.6716667,NO
254,53,0.4,NO
154,76,0.57,NO
267,76,0.57,NO
12,55,0.405,NO
260,72,0.52,NO
261,72,0.52,NO
265,96,0.68,NO
248,80,0.5553333,NO
201,71,0.48,YES
164,73,0.49,NO
500,100,0.6614048,NO
539,100,0.6614048,NO
223,99,0.65140474,NO
238,99,0.65140474,NO
556,99,0.65140474,NO
368,125,0.82,NO
582,125,0.82,NO
75,126,0.82,YES
328,127,0.82,NO
362,127,0.82,NO
255,81,0.52,NO
369,78,0.49833333,NO
101,79,0.49833333,NO
372,79,0.49833333,NO
624,79,0.49833333,NO
253,99,0.60833335,NO
276,115,0.68,NO
257,69,0.40666667,NO
258,69,0.40666667,NO
408,82,0.4649762,NO
202,32,0.18,NO
43,83,0.4549762,NO
543,83,0.4549762,NO
131,148,0.792,YES
126,90,0.48,NO
334,87,0.4639524,NO
411,87,0.4639524,NO
151,88,0.4639524,NO
366,88,0.4639524,NO
592,88,0.4639524,NO
251,131,0.69,NO
47,106,0.5484524,NO
281,106,0.5484524,NO
507,106,0.5484524,NO
508,106,0.5484524,NO
32,31,0.16,NO
62,152,0.7825,NO
181,80,0.41,NO
109,140,0.71,NO
58,191,0.96,NO
426,191,0.96,NO
295,180,0.9,NO
249,111,0.55,NO
199,101,0.49,YES
26,68,0.32,NO
605,206,0.94,NO
299,187,0.84,NO
204,148,0.64865875,NO
329,148,0.64865875,NO
425,148,0.64865875,NO
89,93,0.40166053,NO
57,94,0.40166053,NO
442,94,0.40166053,NO
509,94,0.40166053,NO
653,94,0.40166053,NO
252,68,0.29,NO
177,102,0.43,NO
347,95,0.3983272,NO
414,95,0.3983272,NO
91,204,0.84,YES
618,178,0.71,NO
280,179,0.71,NO
431,179,0.71,NO
45,58,0.23,NO
213,59,0.23,NO
139,136,0.53,YES
35,175,0.67,NO
392,192,0.73,NO
339,234,0.88,NO
87,92,0.34511906,NO
460,92,0.34511906,NO
519,92,0.34511906,NO
374,181,0.66,NO
566,182,0.66,NO
70,190,0.68,NO
587,266,0.92938095,NO
410,267,0.92938095,NO
76,167,0.57,YES
235,186,0.62,NO
470,277,0.921,NO
48,189,0.62,NO
173,142,0.46,NO
499,68,0.22007143,NO
198,279,0.901,NO
69,205,0.66,YES
264,28,0.09,NO
327,204,0.65,NO
31,211,0.67,NO
15,103,0.325,NO
13,204,0.62,NO
64,82,0.24,NO
203,272,0.7880826,NO
379,273,0.7880826,NO
119,264,0.7517143,NO
193,64,0.18,NO
263,50,0.14,NO
71,86,0.24,NO
38,87,0.24,NO
243,319,0.88,NO
631,266,0.73,NO
149,77,0.21,NO
239,170,0.46,NO
178,226,0.61,NO
148,182,0.49,NO
348,116,0.31,NO
380,116,0.31,NO
617,116,0.31,NO
229,244,0.65,NO
127,335,0.89,NO
138,275,0.73,NO
336,281,0.738,NO
174,84,0.22,NO
123,199,0.52,NO
18,83,0.21,NO
638,277,0.7,YES
189,226,0.57,YES
506,123,0.3,NO
586,123,0.3,NO
122,310,0.74,YES
231,273,0.65,NO
41,224,0.53,NO
405,161,0.3765,NO
588,162,0.3765,NO
367,139,0.32,NO
612,139,0.32,NO
72,207,0.47,YES
337,380,0.85,NO
423,380,0.85,NO
458,382,0.85,NO
1,274,0.6,YES
194,211,0.46,YES
145,92,0.2,NO
183,264,0.57,NO
614,298,0.64,NO
505,332,0.71,NO
404,300,0.64,NO
277,421,0.88,NO
452,422,0.88,NO
284,295,0.615,NO
314,323,0.67,NO
84,89,0.17633334,NO
206,89,0.17633334,NO
422,89,0.17633334,NO
472,89,0.17633334,NO
354,193,0.38,NO
137,327,0.63,NO
305,329,0.63,NO
49,151,0.28771427,NO
356,151,0.28771427,NO
451,151,0.28771427,NO
245,294,0.56,NO
234,100,0.19,NO
68,530,0.99,NO
99,343,0.64,NO
596,343,0.64,NO
298,512,0.95,NO
542,535,0.99,NO
125,346,0.64,NO
